Question_ID,Answer_ID,Task
2057,5,Phi-2
2060,5,Phi-2
2061,5,Phi-2
2067,3,Phi-2
2079,3,Phi-2
2080,1,Phi-2
2081,4,Phi-2
2082,4,Phi-2
2086,1,Phi-2
2097,5,Phi-2
2101,2,Phi-2
2105,5,Phi-2
2106,4,Phi-2
2108,4,Phi-2
2116,3,Phi-2
2120,4,Phi-2
2126,3,Phi-2
2136,3,Phi-2
2145,2,Phi-2
2146,2,Phi-2
2152,1,Phi-2
2160,1,Phi-2
2163,5,Phi-2
2166,3,Phi-2
2174,5,Phi-2
2176,5,Phi-2
2185,5,Phi-2
2186,4,Phi-2
2188,4,Phi-2
2190,4,Phi-2
2193,4,Phi-2
2196,3,Phi-2
2197,3,Phi-2
2205,2,Phi-2
2208,3,Phi-2
2210,5,Phi-2
2214,1,Phi-2
2216,4,Phi-2
2217,1,Phi-2
2228,3,Phi-2
2245,4,Phi-2
2254,5,Phi-2
2256,5,Phi-2
2259,2,Phi-2
2264,3,Phi-2
2268,5,Phi-2
2276,3,Phi-2
2278,3,Phi-2
2279,1,Phi-2
2293,1,Phi-2
2296,4,Phi-2
2310,4,Phi-2
2320,5,Phi-2
2321,4,Phi-2
2326,4,Phi-2
2337,1,Phi-2
2347,4,Phi-2
2352,3,Phi-2
2355,4,Phi-2
2357,2,Phi-2
2358,5,Phi-2
2365,1,Phi-2
2367,3,Phi-2
2370,1,Phi-2
2380,2,Phi-2
2382,5,Phi-2
2386,4,Phi-2
2396,3,Phi-2
2397,4,Phi-2
2404,3,Phi-2
2408,5,Phi-2
2414,1,Phi-2
2430,3,Phi-2
2432,2,Phi-2
2443,5,Phi-2
2455,1,Phi-2
2456,4,Phi-2
2461,4,Phi-2
2467,1,Phi-2
2471,1,Phi-2
2474,2,Phi-2
2477,3,Phi-2
2480,5,Phi-2
2483,3,Phi-2
2487,3,Phi-2
2488,5,Phi-2
2491,5,Phi-2
2493,1,Phi-2
2494,2,Phi-2
2507,1,Phi-2
2508,4,Phi-2
2509,1,Phi-2
2510,3,Phi-2
2518,2,Phi-2
2523,1,Phi-2
2533,4,Phi-2
2537,2,Phi-2
2561,5,Phi-2
2562,3,Phi-2
2581,3,Phi-2
2582,4,Phi-2
2590,4,Phi-2
2596,4,Phi-2
2608,3,Phi-2
2612,2,Phi-2
2614,3,Phi-2
2633,3,Phi-2
2638,5,Phi-2
2640,3,Phi-2
2646,3,Phi-2
2652,1,Phi-2
2654,1,Phi-2
2659,4,Phi-2
2666,3,Phi-2
2672,3,Phi-2
2699,5,Phi-2
2708,2,Phi-2
2716,4,Phi-2
2718,3,Phi-2
2728,2,Phi-2
2742,2,Phi-2
2745,3,Phi-2
2751,1,Phi-2
2758,4,Phi-2
2763,3,Phi-2
2767,4,Phi-2
2771,2,Phi-2
2779,5,Phi-2
2782,1,Phi-2
2783,1,Phi-2
2788,4,Phi-2
2793,4,Phi-2
2812,4,Phi-2
2821,3,Phi-2
2824,3,Phi-2
2830,1,Phi-2
2835,3,Phi-2
2841,1,Phi-2
2845,1,Phi-2
2858,3,Phi-2
2859,5,Phi-2
2866,3,Phi-2
2874,4,Phi-2
2891,3,Phi-2
2898,5,Phi-2
2908,1,Phi-2
2917,2,Phi-2
2924,4,Phi-2
2926,3,Phi-2
2931,1,Phi-2
2936,5,Phi-2
2947,4,Phi-2
2962,1,Phi-2
2964,4,Phi-2
2966,2,Phi-2
2977,3,Phi-2
2987,1,Phi-2
2991,1,Phi-2
2995,1,Phi-2
2998,1,Phi-2
3004,3,Phi-2
3012,4,Phi-2
3015,1,Phi-2
3022,3,Phi-2
3024,3,Phi-2
3030,1,Phi-2
3034,4,Phi-2
3046,3,Phi-2
3051,5,Phi-2
3061,3,Phi-2
3062,3,Phi-2
3066,2,Phi-2
3068,3,Phi-2
3070,1,Phi-2
3072,5,Phi-2
3074,4,Phi-2
3085,2,Phi-2
3088,2,Phi-2
3099,3,Phi-2
3100,3,Phi-2
3103,2,Phi-2
3106,3,Phi-2
3108,4,Phi-2
3117,1,Phi-2
3122,2,Phi-2
3126,4,Phi-2
3139,3,Phi-2
3143,1,Phi-2
3178,3,Phi-2
3189,2,Phi-2
3196,1,Phi-2
3216,3,Phi-2
3218,5,Phi-2
3222,2,Phi-2
3234,2,Phi-2
3235,1,Phi-2
3236,1,Phi-2
3249,4,Phi-2
3251,3,Phi-2
3256,3,Phi-2
3259,2,Phi-2
3265,4,Phi-2
3270,3,Phi-2
3271,1,Phi-2
3273,2,Phi-2
3281,5,Phi-2
3284,5,Phi-2
3294,5,Phi-2
3297,3,Phi-2
3309,4,Phi-2
3312,2,Phi-2
3316,4,Phi-2
3318,5,Phi-2
3319,4,Phi-2
3336,4,Phi-2
3342,2,Phi-2
3349,1,Phi-2
3352,3,Phi-2
3358,4,Phi-2
3367,1,Phi-2
3377,1,Phi-2
3385,1,Phi-2
3387,3,Phi-2
3388,5,Phi-2
3389,2,Phi-2
3391,1,Phi-2
3392,5,Phi-2
3397,2,Phi-2
3399,5,Phi-2
3405,3,Phi-2
3409,5,Phi-2
3416,1,Phi-2
3427,1,Phi-2
3428,2,Phi-2
3430,3,Phi-2
3434,2,Phi-2
3439,4,Phi-2
3442,1,Phi-2
3447,3,Phi-2
3450,2,Phi-2
3451,2,Phi-2
3459,3,Phi-2
3465,5,Phi-2
3466,1,Phi-2
3473,3,Phi-2
3474,4,Phi-2
3480,2,Phi-2
3483,2,Phi-2
3484,3,Phi-2
3488,5,Phi-2
3519,1,Phi-2
3527,3,Phi-2
3530,2,Phi-2
3531,4,Phi-2
3543,4,Phi-2
3547,1,Phi-2
3552,1,Phi-2
3553,4,Phi-2
3558,3,Phi-2
3559,3,Phi-2
3560,3,Phi-2
3562,2,Phi-2
3569,5,Phi-2
3570,2,Phi-2
3571,1,Phi-2
3572,1,Phi-2
3579,1,Phi-2
3584,5,Phi-2
3585,4,Phi-2
3586,1,Phi-2
3591,3,Phi-2
3597,3,Phi-2
3604,4,Phi-2
3605,2,Phi-2
3607,2,Phi-2
3608,4,Phi-2
3615,4,Phi-2
3628,5,Phi-2
3630,4,Phi-2
3634,3,Phi-2
3642,1,Phi-2
3649,3,Phi-2
3651,2,Phi-2
3657,3,Phi-2
3664,1,Phi-2
3673,5,Phi-2
3679,3,Phi-2
3688,4,Phi-2
3693,3,Phi-2
3697,5,Phi-2
3701,4,Phi-2
3722,3,Phi-2
3726,2,Phi-2
3727,4,Phi-2
3740,4,Phi-2
3742,3,Phi-2
3744,2,Phi-2
3751,4,Phi-2
3761,3,Phi-2
3766,2,Phi-2
3783,1,Phi-2
3785,1,Phi-2
3787,4,Phi-2
3788,2,Phi-2
3793,4,Phi-2
3794,4,Phi-2
3806,1,Phi-2
3813,4,Phi-2
3816,4,Phi-2
3819,3,Phi-2
3822,3,Phi-2
3825,3,Phi-2
3828,3,Phi-2
3836,5,Phi-2
3837,2,Phi-2
3841,3,Phi-2
3844,5,Phi-2
3845,5,Phi-2
3846,3,Phi-2
3847,2,Phi-2
3853,3,Phi-2
3854,3,Phi-2
3857,4,Phi-2
3871,1,Phi-2
3878,3,Phi-2
3883,3,Phi-2
3887,3,Phi-2
3906,3,Phi-2
3909,1,Phi-2
3917,2,Phi-2
3918,1,Phi-2
3920,5,Phi-2
3928,1,Phi-2
3931,1,Phi-2
3937,3,Phi-2
3938,4,Phi-2
3946,3,Phi-2
3954,4,Phi-2
3957,5,Phi-2
3962,3,Phi-2
3964,2,Phi-2
3965,2,Phi-2
3969,2,Phi-2
3972,3,Phi-2
3974,4,Phi-2
3987,4,Phi-2
3988,1,Phi-2
4001,5,Phi-2
4011,4,Phi-2
4012,1,Phi-2
4013,5,Phi-2
4019,5,Phi-2
4029,3,Phi-2
4033,1,Phi-2
4036,1,Phi-2
4037,3,Phi-2
4043,4,Phi-2
4046,4,Phi-2
4047,3,Phi-2
4055,5,Phi-2
4058,4,Phi-2
4063,1,Phi-2
4064,2,Phi-2
4079,1,Phi-2
4081,2,Phi-2
4082,1,Phi-2
4083,4,Phi-2
4089,5,Phi-2
4090,5,Phi-2
4093,1,Phi-2
4103,3,Phi-2
4113,4,Phi-2
4114,3,Phi-2
4115,3,Phi-2
4117,5,Phi-2
4132,1,Phi-2
4136,4,Phi-2
4146,2,Phi-2
4159,2,Phi-2
4181,5,Phi-2
4184,3,Phi-2
4186,3,Phi-2
4200,3,Phi-2
4211,1,Phi-2
4212,1,Phi-2
4222,4,Phi-2
4230,2,Phi-2
4234,1,Phi-2
4240,1,Phi-2
4241,4,Phi-2
4242,3,Phi-2
4248,4,Phi-2
4250,3,Phi-2
4254,2,Phi-2
4268,1,Phi-2
4282,2,Phi-2
4293,4,Phi-2
4298,4,Phi-2
4299,5,Phi-2
4300,3,Phi-2
4303,3,Phi-2
4308,3,Phi-2
4314,5,Phi-2
4321,1,Phi-2
4322,3,Phi-2
4328,3,Phi-2
4329,4,Phi-2
4333,1,Phi-2
4337,4,Phi-2
4338,2,Phi-2
4341,5,Phi-2
4348,3,Phi-2
4351,5,Phi-2
4365,1,Phi-2
4372,1,Phi-2
4378,4,Phi-2
4386,4,Phi-2
4397,4,Phi-2
4399,4,Phi-2
4401,5,Phi-2
4415,1,Phi-2
4418,1,Phi-2
4431,3,Phi-2
4432,2,Phi-2
4440,4,Phi-2
4446,1,Phi-2
4451,5,Phi-2
4468,5,Phi-2
4480,5,Phi-2
4493,5,Phi-2
4499,4,Phi-2
4503,4,Phi-2
4511,5,Phi-2
4512,1,Phi-2
4513,3,Phi-2
4519,4,Phi-2
4520,2,Phi-2
4523,4,Phi-2
4524,5,Phi-2
4525,3,Phi-2
4530,1,Phi-2
4538,4,Phi-2
4547,1,Phi-2
4548,5,Phi-2
4561,4,Phi-2
4562,5,Phi-2
4564,1,Phi-2
4572,1,Phi-2
4576,4,Phi-2
4579,1,Phi-2
4581,2,Phi-2
4585,2,Phi-2
4588,4,Phi-2
4590,5,Phi-2
4602,1,Phi-2
4613,3,Phi-2
4614,3,Phi-2
4616,4,Phi-2
4619,1,Phi-2
4620,3,Phi-2
4632,5,Phi-2
4643,3,Phi-2
4646,4,Phi-2
4650,5,Phi-2
4651,4,Phi-2
4652,3,Phi-2
4666,2,Phi-2
4669,4,Phi-2
4677,1,Phi-2
4680,1,Phi-2
4682,5,Phi-2
4683,1,Phi-2
4687,1,Phi-2
4688,3,Phi-2
4704,3,Phi-2
4713,5,Phi-2
4714,2,Phi-2
4718,1,Phi-2
4725,5,Phi-2
4737,4,Phi-2
4755,1,Phi-2
4759,5,Phi-2
4762,5,Phi-2
4767,1,Phi-2
4770,3,Phi-2
4784,3,Phi-2
4785,1,Phi-2
4789,4,Phi-2
4803,1,Phi-2
4812,3,Phi-2
4813,5,Phi-2
4817,4,Phi-2
4821,2,Phi-2
4834,1,Phi-2
4837,5,Phi-2
4840,3,Phi-2
4850,3,Phi-2
4856,3,Phi-2
4864,5,Phi-2
4871,5,Phi-2
4873,3,Phi-2
4881,4,Phi-2
4893,1,Phi-2
4903,5,Phi-2
4906,4,Phi-2
4908,3,Phi-2
4918,4,Phi-2
4921,1,Phi-2
4924,4,Phi-2
4931,1,Phi-2
4933,4,Phi-2
4946,5,Phi-2
4955,5,Phi-2
4957,1,Phi-2
4958,5,Phi-2
4959,1,Phi-2
4972,1,Phi-2
4977,4,Phi-2
4981,3,Phi-2
4992,2,Phi-2
5001,4,Phi-2
5003,1,Phi-2
5008,4,Phi-2
5010,5,Phi-2
5034,1,Phi-2
5056,5,Phi-2
5060,4,Phi-2
5062,2,Phi-2
5065,5,Phi-2
5067,3,Phi-2
5075,1,Phi-2
5079,5,Phi-2
5083,3,Phi-2
5084,5,Phi-2
5085,2,Phi-2
5087,3,Phi-2
5091,5,Phi-2
5108,1,Phi-2
5112,1,Phi-2
5114,3,Phi-2
5128,2,Phi-2
5129,3,Phi-2
5135,1,Phi-2
5145,4,Phi-2
5150,1,Phi-2
5151,3,Phi-2
5155,3,Phi-2
5156,1,Phi-2
5162,1,Phi-2
5165,4,Phi-2
5174,2,Phi-2
5183,2,Phi-2
5195,5,Phi-2
5197,2,Phi-2
5198,3,Phi-2
5204,3,Phi-2
5210,3,Phi-2
5219,2,Phi-2
5228,3,Phi-2
5232,1,Phi-2
5244,3,Phi-2
5246,1,Phi-2
5247,3,Phi-2
5255,1,Phi-2
5259,4,Phi-2
5262,1,Phi-2
5264,3,Phi-2
5275,3,Phi-2
5282,4,Phi-2
5317,4,Phi-2
5318,3,Phi-2
5320,1,Phi-2
5325,2,Phi-2
5329,3,Phi-2
5341,1,Phi-2
5359,2,Phi-2
5369,3,Phi-2
5370,1,Phi-2
5379,3,Phi-2
5380,3,Phi-2
5387,3,Phi-2
5389,5,Phi-2
5392,3,Phi-2
5409,5,Phi-2
5416,1,Phi-2
5420,2,Phi-2
5427,2,Phi-2
5435,1,Phi-2
5445,3,Phi-2
5451,4,Phi-2
5452,3,Phi-2
5454,1,Phi-2
5458,3,Phi-2
5459,5,Phi-2
5462,2,Phi-2
5463,2,Phi-2
5467,3,Phi-2
5476,2,Phi-2
5477,4,Phi-2
5485,2,Phi-2
5486,5,Phi-2
5490,2,Phi-2
5491,4,Phi-2
5493,3,Phi-2
5496,5,Phi-2
5502,1,Phi-2
5518,4,Phi-2
5531,5,Phi-2
5542,3,Phi-2
5547,4,Phi-2
5548,3,Phi-2
5551,2,Phi-2
5557,2,Phi-2
5581,2,Phi-2
5582,4,Phi-2
5592,1,Phi-2
5601,5,Phi-2
5606,2,Phi-2
5607,1,Phi-2
5608,5,Phi-2
5611,5,Phi-2
5613,1,Phi-2
5614,2,Phi-2
5620,4,Phi-2
5624,1,Phi-2
5625,5,Phi-2
5630,1,Phi-2
5632,1,Phi-2
5638,4,Phi-2
5644,1,Phi-2
5650,4,Phi-2
5655,3,Phi-2
5657,1,Phi-2
5664,1,Phi-2
5669,5,Phi-2
5675,5,Phi-2
5681,4,Phi-2
5684,3,Phi-2
5686,2,Phi-2
5694,4,Phi-2
5697,5,Phi-2
5698,1,Phi-2
5706,2,Phi-2
5719,3,Phi-2
5725,5,Phi-2
5727,3,Phi-2
5729,3,Phi-2
5736,1,Phi-2
5739,2,Phi-2
5750,4,Phi-2
5752,3,Phi-2
5753,5,Phi-2
5760,1,Phi-2
5787,2,Phi-2
5788,5,Phi-2
5791,5,Phi-2
5794,2,Phi-2
5795,2,Phi-2
5797,5,Phi-2
5802,3,Phi-2
5804,5,Phi-2
5810,1,Phi-2
5819,4,Phi-2
5821,3,Phi-2
5825,5,Phi-2
5826,3,Phi-2
5827,1,Phi-2
5832,5,Phi-2
5834,1,Phi-2
5835,1,Phi-2
5838,1,Phi-2
5840,5,Phi-2
5841,1,Phi-2
5847,4,Phi-2
5849,3,Phi-2
5853,1,Phi-2
5872,2,Phi-2
5892,5,Phi-2
5895,3,Phi-2
5896,4,Phi-2
5903,1,Phi-2
5904,2,Phi-2
5909,3,Phi-2
5913,1,Phi-2
5915,3,Phi-2
5919,2,Phi-2
5920,2,Phi-2
5923,3,Phi-2
5926,3,Phi-2
5947,2,Phi-2
5949,5,Phi-2
5952,5,Phi-2
5962,4,Phi-2
5963,3,Phi-2
5966,4,Phi-2
5967,3,Phi-2
5974,4,Phi-2
5981,1,Phi-2
5982,4,Phi-2
5984,1,Phi-2
5986,2,Phi-2
5989,1,Phi-2
5995,5,Phi-2
6001,5,Phi-2
6003,2,Phi-2
6004,4,Phi-2
6005,2,Phi-2
6006,4,Phi-2
6007,2,Phi-2
6015,1,Phi-2
6017,3,Phi-2
6018,1,Phi-2
6023,4,Phi-2
6024,1,Phi-2
6035,3,Phi-2
6036,3,Phi-2
6037,5,Phi-2
6040,1,Phi-2
6042,4,Phi-2
6046,2,Phi-2
6051,5,Phi-2
6057,4,Phi-2
6059,4,Phi-2
6061,5,Phi-2
6065,2,Phi-2
6067,1,Phi-2
6080,4,Phi-2
6082,3,Phi-2
6088,4,Phi-2
6097,3,Phi-2
6099,5,Phi-2
6105,5,Phi-2
6109,4,Phi-2
6115,5,Phi-2
6116,1,Phi-2
6124,5,Phi-2
6129,2,Phi-2
6135,5,Phi-2
6139,1,Phi-2
6147,1,Phi-2
6151,4,Phi-2
6152,2,Phi-2
6163,3,Phi-2
6165,3,Phi-2
6171,1,Phi-2
6172,3,Phi-2
6173,1,Phi-2
6175,1,Phi-2
6187,2,Phi-2
6189,3,Phi-2
6195,5,Phi-2
6196,2,Phi-2
6197,1,Phi-2
6198,1,Phi-2
6204,1,Phi-2
6206,5,Phi-2
6211,2,Phi-2
6212,4,Phi-2
6216,3,Phi-2
6225,5,Phi-2
6228,5,Phi-2
6233,3,Phi-2
6237,4,Phi-2
6239,4,Phi-2
6241,2,Phi-2
6253,3,Phi-2
6254,1,Phi-2
6258,5,Phi-2
6268,2,Phi-2
6272,3,Phi-2
6277,4,Phi-2
6286,4,Phi-2
6296,5,Phi-2
6297,4,Phi-2
6300,4,Phi-2
6329,3,Phi-2
6331,3,Phi-2
6339,1,Phi-2
6354,3,Phi-2
6356,5,Phi-2
6359,1,Phi-2
6360,2,Phi-2
6375,1,Phi-2
6376,5,Phi-2
6377,3,Phi-2
6379,5,Phi-2
6385,5,Phi-2
6393,2,Phi-2
6396,1,Phi-2
6409,4,Phi-2
6414,2,Phi-2
6423,4,Phi-2
6425,3,Phi-2
6432,1,Phi-2
6446,2,Phi-2
6451,4,Phi-2
6452,3,Phi-2
6463,5,Phi-2
6464,1,Phi-2
6470,5,Phi-2
6476,3,Phi-2
6484,4,Phi-2
6486,3,Phi-2
6490,5,Phi-2
6540,5,Phi-2
6545,5,Phi-2
6557,3,Phi-2
6576,3,Phi-2
6579,3,Phi-2
6582,5,Phi-2
6585,2,Phi-2
6587,5,Phi-2
6590,2,Phi-2
6592,1,Phi-2
6596,2,Phi-2
6597,3,Phi-2
6600,1,Phi-2
6602,5,Phi-2
6603,4,Phi-2
6604,2,Phi-2
6609,4,Phi-2
6612,4,Phi-2
6615,1,Phi-2
6616,1,Phi-2
6617,1,Phi-2
6628,4,Phi-2
6632,3,Phi-2
6633,5,Phi-2
6648,2,Phi-2
6651,4,Phi-2
6652,5,Phi-2
6661,5,Phi-2
6663,2,Phi-2
6664,4,Phi-2
6682,2,Phi-2
6692,1,Phi-2
6697,3,Phi-2
6698,5,Phi-2
6701,1,Phi-2
6706,1,Phi-2
6714,2,Phi-2
6721,1,Phi-2
6722,3,Phi-2
6727,2,Phi-2
6735,5,Phi-2
6737,1,Phi-2
6739,4,Phi-2
6741,3,Phi-2
6744,4,Phi-2
6750,5,Phi-2
6752,1,Phi-2
6755,1,Phi-2
6759,2,Phi-2
6760,5,Phi-2
6762,1,Phi-2
6763,1,Phi-2
6769,4,Phi-2
6775,2,Phi-2
6776,4,Phi-2
6777,1,Phi-2
6781,2,Phi-2
6790,2,Phi-2
6799,5,Phi-2
6806,3,Phi-2
6828,3,Phi-2
6831,5,Phi-2
6834,4,Phi-2
6836,4,Phi-2
6839,4,Phi-2
6840,2,Phi-2
6842,4,Phi-2
6856,5,Phi-2
6859,3,Phi-2
6877,5,Phi-2
6882,2,Phi-2
6888,3,Phi-2
6889,1,Phi-2
6901,1,Phi-2
6909,4,Phi-2
6912,1,Phi-2
6923,3,Phi-2
6939,1,Phi-2
6956,1,Phi-2
6963,2,Phi-2
6965,1,Phi-2
6972,3,Phi-2
6977,5,Phi-2
6991,4,Phi-2
6995,4,Phi-2
7005,4,Phi-2
7012,2,Phi-2
7022,5,Phi-2
7024,5,Phi-2
7027,2,Phi-2
7028,3,Phi-2
7045,4,Phi-2
7056,5,Phi-2
7063,2,Phi-2
7070,2,Phi-2
7077,1,Phi-2
7085,5,Phi-2
7090,3,Phi-2
7093,1,Phi-2
7094,3,Phi-2
7095,3,Phi-2
7136,3,Phi-2
7148,3,Phi-2
7160,3,Phi-2
7164,3,Phi-2
7166,4,Phi-2
7171,4,Phi-2
7173,4,Phi-2
7180,3,Phi-2
7188,2,Phi-2
7194,3,Phi-2
7199,3,Phi-2
